number, start position, stop position, strand, length
1531, 1552593, 1553720,  - , 1128
1532, 2391597, 2392703,  - , 1107
1533, 1571976, 1572980,  - , 1005
1534, 2396235, 2397497,  - , 1263
1535, 1598274, 1599851,  - , 1578
1536, 2401191, 2402660,  - , 1470
1537, 1601835, 1603151,  - , 1317
1538, 466131, 467654,  - , 1524
1539, 3571788, 3572966,  - , 1179
1540, 482253, 483473,  - , 1221
1541, 3584739, 3585806,  - , 1068
1542, 488817, 489992,  - , 1176
1543, 3624834, 3626483,  - , 1650
1544, 498528, 499943,  - , 1416
1545, 3639927, 3641330,  - , 1404
1546, 513279, 514556,  - , 1278
1547, 3655500, 3657542,  - , 2043
1548, 528765, 531185,  - , 2421
1549, 3658668, 3660668,  - , 2001
1550, 559728, 561485,  - , 1758
1551, 3671499, 3673217,  - , 1719
1552, 561522, 562523,  - , 1002
1553, 3674694, 3675770,  - , 1077
1554, 583257, 584465,  - , 1209
1555, 3683865, 3685190,  - , 1326
1556, 599625, 602057,  - , 2433
1557, 3699717, 3701969,  - , 2253
1558, 618291, 620042,  - , 1752
1559, 3719694, 3721094,  - , 1401
1560, 314634, 316157,  - , 1524
1561, 4071108, 4072349,  - , 1242
1562, 316161, 317531,  - , 1371
1563, 4072803, 4074104,  - , 1302
1564, 359949, 361766,  - , 1818
1565, 4082898, 4084217,  - , 1320
1566, 375816, 376964,  - , 1149
1567, 4092756, 4093835,  - , 1080
1568, 388566, 389597,  - , 1032
1569, 4098096, 4099208,  - , 1113
1570, 398832, 400217,  - , 1386
1571, 4107210, 4108673,  - , 1464
1572, 431073, 433370,  - , 2298
1573, 4111629, 4112747,  - , 1119
1574, 463329, 464876,  - , 1548
1575, 4216548, 4217792,  - , 1245
1576, 483417, 484436,  - , 1020
1577, 4239432, 4241465,  - , 2034
1578, 485301, 486395,  - , 1095
1579, 4244784, 4246331,  - , 1548
1580, 487734, 488858,  - , 1125
1581, 4246341, 4247723,  - , 1383
1582, 527418, 528572,  - , 1155
1583, 4261014, 4263923,  - , 2910
1584, 551928, 553223,  - , 1296
1585, 4267254, 4269071,  - , 1818
1586, 555549, 556619,  - , 1071
1587, 4269126, 4270253,  - , 1128
1588, 591162, 592436,  - , 1275
1589, 4280436, 4282208,  - , 1773
1590, 594759, 596045,  - , 1287
1591, 4309326, 4310630,  - , 1305
1592, 670365, 672773,  - , 2409
1593, 4321560, 4322789,  - , 1230
1594, 677625, 678998,  - , 1374
1595, 4325868, 4327253,  - , 1386
1596, 688146, 689327,  - , 1182
1597, 4351653, 4353053,  - , 1401
1598, 700326, 702026,  - , 1701
1599, 4355451, 4357802,  - , 2352
1600, 708390, 710744,  - , 2355
1601, 4371189, 4372703,  - , 1515
1602, 710775, 711917,  - , 1143
1603, 4391610, 4393031,  - , 1422
1604, 80893, 81924,  - , 1032
1605, 8256, 10547,  - , 2292
1606, 93835, 94875,  - , 1041
1607, 75408, 76694,  - , 1287
1608, 104980, 106041,  - , 1062
1609, 77478, 78509,  - , 1032
1610, 106894, 108213,  - , 1320
1611, 78546, 79574,  - , 1029
1612, 134086, 135507,  - , 1422
1613, 109839, 111791,  - , 1953
1614, 148141, 149682,  - , 1542
1615, 160050, 161858,  - , 1809
1616, 168298, 169560,  - , 1263
1617, 200028, 201572,  - , 1545
1618, 171100, 172731,  - , 1632
1619, 211080, 213350,  - , 2271
1620, 173965, 175302,  - , 1338
1621, 215763, 216863,  - , 1101
1622, 187075, 188109,  - , 1035
1623, 224610, 226142,  - , 1533
1624, 190948, 192945,  - , 1998
1625, 227676, 229727,  - , 2052
1626, 236860, 239343,  - , 2484
1627, 248538, 249887,  - , 1350
1628, 240616, 241836,  - , 1221
1629, 252228, 253658,  - , 1431
1630, 301360, 302493,  - , 1134
1631, 264369, 267557,  - , 3189
1632, 302515, 303618,  - , 1104
1633, 305124, 306665,  - , 1542
1634, 306730, 308100,  - , 1371
1635, 312873, 313943,  - , 1071
1636, 331345, 332406,  - , 1062
1637, 317004, 318104,  - , 1101
1638, 333505, 335922,  - , 2418
1639, 325467, 326804,  - , 1338
1640, 337048, 338298,  - , 1251
1641, 328569, 330254,  - , 1686
1642, 339046, 340923,  - , 1878
1643, 343164, 344666,  - , 1503
1644, 344644, 346035,  - , 1392
1645, 415416, 416915,  - , 1500
1646, 348871, 350373,  - , 1503
1647, 435084, 436289,  - , 1206
1648, 372733, 373791,  - , 1059
1649, 438216, 439232,  - , 1017
1650, 384637, 385671,  - , 1035
1651, 444618, 445637,  - , 1020
1652, 400438, 401724,  - , 1287
1653, 448578, 449969,  - , 1392
1654, 403756, 404862,  - , 1107
1655, 450144, 451439,  - , 1296
1656, 454726, 455979,  - , 1254
1657, 469560, 472166,  - , 2607
1658, 459424, 462897,  - , 3474
1659, 472248, 474236,  - , 1989
1660, 518140, 519342,  - , 1203
1661, 475902, 477581,  - , 1680
1662, 521038, 522660,  - , 1623
1663, 481662, 482870,  - , 1209
1664, 543964, 545451,  - , 1488
1665, 483507, 484592,  - , 1086
1666, 548866, 550029,  - , 1164
1667, 509583, 510746,  - , 1164
1668, 554440, 555771,  - , 1332
1669, 523554, 524780,  - , 1227
1670, 555772, 556791,  - , 1020
1671, 548835, 550559,  - , 1725
1672, 570274, 571560,  - , 1287
1673, 559113, 560417,  - , 1305
1674, 582202, 583425,  - , 1224
1675, 590172, 591503,  - , 1332
1676, 631240, 633180,  - , 1941
1677, 592917, 594020,  - , 1104
1678, 635797, 639597,  - , 3801
1679, 595611, 597056,  - , 1446
1680, 641986, 643953,  - , 1968
1681, 612936, 614456,  - , 1521
1682, 654970, 657306,  - , 2337
1683, 628650, 629909,  - , 1260
1684, 660787, 661959,  - , 1173
1685, 633402, 635345,  - , 1944
1686, 662890, 664227,  - , 1338
1687, 636432, 638090,  - , 1659
1688, 706228, 707562,  - , 1335
1689, 647484, 648704,  - , 1221
1690, 707596, 709890,  - , 2295
1691, 649173, 650543,  - , 1371
1692, 776254, 777555,  - , 1302
1693, 653454, 654887,  - , 1434
1694, 796141, 798033,  - , 1893
1695, 661740, 663410,  - , 1671
1696, 801475, 802887,  - , 1413
1697, 703551, 705050,  - , 1500
1698, 803761, 805173,  - , 1413
1699, 720705, 721928,  - , 1224
1700, 808153, 809331,  - , 1179
1701, 727920, 729095,  - , 1176
1702, 868303, 869310,  - , 1008
1703, 736860, 737915,  - , 1056
1704, 886288, 887676,  - , 1389
1705, 745836, 747062,  - , 1227
1706, 900514, 901746,  - , 1233
1707, 749187, 750725,  - , 1539
1708, 902944, 904146,  - , 1203
1709, 751173, 752267,  - , 1095
1710, 917524, 919041,  - , 1518
1711, 810633, 811826,  - , 1194
1712, 932827, 935715,  - , 2889
1713, 815361, 817187,  - , 1827
1714, 938608, 940161,  - , 1554
1715, 842556, 843911,  - , 1356
1716, 951337, 952974,  - , 1638
1717, 860679, 862940,  - , 2262
1718, 972751, 974244,  - , 1494
1719, 866379, 867392,  - , 1014
1720, 975718, 977049,  - , 1332
1721, 886761, 888140,  - , 1380
1722, 980113, 981591,  - , 1479
1723, 888474, 890297,  - , 1824
1724, 1001485, 1003338,  - , 1854
1725, 916029, 917054,  - , 1026
1726, 1030471, 1031808,  - , 1338
1727, 937197, 938276,  - , 1080
1728, 1044688, 1046061,  - , 1374
1729, 943647, 945536,  - , 1890
1730, 1058947, 1060797,  - , 1851
1731, 947898, 949595,  - , 1698
1732, 1061929, 1063965,  - , 2037
1733, 954813, 955916,  - , 1104
1734, 1065037, 1066209,  - , 1173
1735, 959799, 960929,  - , 1131
1736, 1067458, 1068537,  - , 1080
1737, 965253, 966518,  - , 1266
1738, 1088923, 1090269,  - , 1347
1739, 982668, 984122,  - , 1455
1740, 1090291, 1091700,  - , 1410
1741, 990555, 992267,  - , 1713
1742, 1099366, 1100415,  - , 1050
1743, 994935, 995963,  - , 1029
1744, 1117789, 1119519,  - , 1731
1745, 1009809, 1011323,  - , 1515
1746, 1124614, 1125804,  - , 1191
1747, 1062540, 1063619,  - , 1080
1748, 1151074, 1152195,  - , 1122
1749, 1065726, 1067072,  - , 1347
1750, 1163296, 1164594,  - , 1299
1751, 1072917, 1074029,  - , 1113
1752, 1200568, 1203942,  - , 3375
1753, 1077699, 1078793,  - , 1095
1754, 1212232, 1213371,  - , 1140
1755, 1092570, 1097528,  - , 4959
1756, 1213372, 1215684,  - , 2313
1757, 1098258, 1099412,  - , 1155
1758, 1218235, 1219509,  - , 1275
1759, 1100061, 1101239,  - , 1179
1760, 1219588, 1221099,  - , 1512
1761, 1105038, 1113113,  - , 8076
1762, 1224217, 1225794,  - , 1578
1763, 1113306, 1114556,  - , 1251
1764, 1237153, 1238628,  - , 1476
1765, 1121496, 1123967,  - , 2472
1766, 1242154, 1243956,  - , 1803
1767, 1142436, 1143770,  - , 1335
1768, 1251358, 1252689,  - , 1332
1769, 1184232, 1186511,  - , 2280
1770, 1255282, 1256298,  - , 1017
1771, 1189461, 1190675,  - , 1215
1772, 1259185, 1260414,  - , 1230
1773, 1201941, 1203053,  - , 1113
1774, 1261492, 1262508,  - , 1017
1775, 1214442, 1216457,  - , 2016
1776, 1287256, 1288341,  - , 1086
1777, 1239750, 1241288,  - , 1539
1778, 1295602, 1299102,  - , 3501
1779, 1250496, 1251806,  - , 1311
1780, 1312513, 1313601,  - , 1089
1781, 1256523, 1257743,  - , 1221
1782, 1313866, 1315044,  - , 1179
1783, 1260036, 1261049,  - , 1014
1784, 1329634, 1331073,  - , 1440
1785, 1269033, 1270073,  - , 1041
1786, 1343155, 1344492,  - , 1338
1787, 1282803, 1284569,  - , 1767
1788, 1348876, 1350897,  - , 2022
1789, 1304322, 1305428,  - , 1107
1790, 1356601, 1357959,  - , 1359
1791, 1307580, 1308770,  - , 1191
1792, 1363255, 1367019,  - , 3765
1793, 1319283, 1323161,  - , 3879
1794, 1367020, 1368669,  - , 1650
1795, 1331433, 1334282,  - , 2850
1796, 1375168, 1376232,  - , 1065
1797, 1336869, 1338515,  - , 1647
1798, 1388365, 1389417,  - , 1053
1799, 1344549, 1345556,  - , 1008
1800, 1392598, 1393788,  - , 1191
1801, 1381086, 1382243,  - , 1158
1802, 1393924, 1394970,  - , 1047
1803, 1383582, 1385102,  - , 1521
1804, 1394986, 1395996,  - , 1011
1805, 1397862, 1399004,  - , 1143
1806, 1398895, 1401186,  - , 2292
1807, 1422297, 1423919,  - , 1623
1808, 1411339, 1412622,  - , 1284
1809, 1434651, 1435883,  - , 1233
1810, 1423048, 1424895,  - , 1848
1811, 1443423, 1446035,  - , 2613
1812, 1433467, 1434537,  - , 1071
1813, 1447899, 1448936,  - , 1038
1814, 1453003, 1455150,  - , 2148
1815, 1455666, 1457459,  - , 1794
1816, 1459399, 1460535,  - , 1137
1817, 1464240, 1465268,  - , 1029
1818, 1495300, 1496757,  - , 1458
1819, 1477125, 1478678,  - , 1554
1820, 1518493, 1519695,  - , 1203
1821, 1483239, 1484882,  - , 1644
1822, 1521685, 1523367,  - , 1683
1823, 1496118, 1497140,  - , 1023
1824, 1523974, 1524999,  - , 1026
1825, 1506432, 1507763,  - , 1332
1826, 1551649, 1552710,  - , 1062
1827, 1508742, 1510490,  - , 1749
1828, 1571047, 1572297,  - , 1251
1829, 1542303, 1543595,  - , 1293
1830, 1586695, 1589100,  - , 2406
1831, 1559859, 1562507,  - , 2649
1832, 1613755, 1615740,  - , 1986
1833, 1562694, 1564286,  - , 1593
1834, 1639510, 1640970,  - , 1461
1835, 1577592, 1579265,  - , 1674
1836, 1640989, 1642434,  - , 1446
1837, 1590666, 1591724,  - , 1059
1838, 1663357, 1664808,  - , 1452
1839, 1612488, 1614860,  - , 2373
1840, 1669567, 1671102,  - , 1536
1841, 1621209, 1622894,  - , 1686
1842, 1678165, 1679205,  - , 1041
1843, 1629654, 1630754,  - , 1101
1844, 1680697, 1681953,  - , 1257
1845, 1631022, 1632452,  - , 1431
1846, 1685785, 1687329,  - , 1545
1847, 1669134, 1672658,  - , 3525
1848, 1687690, 1688823,  - , 1134
1849, 1680777, 1682102,  - , 1326
1850, 1689010, 1690257,  - , 1248
1851, 1682133, 1683665,  - , 1533
1852, 1727434, 1728873,  - , 1440
1853, 1702095, 1703300,  - , 1206
1854, 1757962, 1759557,  - , 1596
1855, 1703301, 1704662,  - , 1362
1856, 1778659, 1781334,  - , 2676
1857, 1716675, 1717988,  - , 1314
1858, 1781473, 1782555,  - , 1083
1859, 1737156, 1738835,  - , 1680
1860, 1783867, 1784958,  - , 1092
1861, 1743105, 1744529,  - , 1425
1862, 1787263, 1788327,  - , 1065
1863, 1752894, 1754630,  - , 1737
1864, 314652, 316175,  - , 1524
1865, 3245584, 3246606,  - , 1023
1866, 335028, 337454,  - , 2427
1867, 3246664, 3249090,  - , 2427
1868, 339729, 341045,  - , 1317
1869, 3256432, 3257466,  - , 1035
1870, 348981, 350282,  - , 1302
1871, 3261781, 3263034,  - , 1254
1872, 388449, 389546,  - , 1098
1873, 3276688, 3277836,  - , 1149
1874, 424131, 425144,  - , 1014
1875, 3282625, 3284319,  - , 1695
1876, 455373, 456764,  - , 1392
1877, 3307855, 3309021,  - , 1167
1878, 467136, 469004,  - , 1869
1879, 3334780, 3335961,  - , 1182
1880, 475398, 477008,  - , 1611
1881, 3349717, 3351345,  - , 1629
1882, 494451, 497126,  - , 2676
1883, 3368704, 3370287,  - , 1584
1884, 507087, 508265,  - , 1179
1885, 3379864, 3381597,  - , 1734
1886, 555651, 557309,  - , 1659
1887, 3384577, 3385950,  - , 1374
1888, 573363, 574490,  - , 1128
1889, 3419317, 3420477,  - , 1161
1890, 577002, 579023,  - , 2022
1891, 3446548, 3447837,  - , 1290
1892, 593958, 596354,  - , 2397
1893, 3461539, 3463014,  - , 1476
1894, 604128, 605198,  - , 1071
1895, 3515530, 3518847,  - , 3318
1896, 613410, 616532,  - , 3123
1897, 3518848, 3521925,  - , 3078
1898, 616533, 617948,  - , 1416
1899, 3558640, 3561909,  - , 3270
1900, 618720, 622358,  - , 3639
1901, 3566134, 3567498,  - , 1365
1902, 468230, 469753,  - , 1524
1903, 3760460, 3762118,  - , 1659
1904, 473558, 475063,  - , 1506
1905, 3781484, 3783169,  - , 1686
1906, 497786, 499021,  - , 1236
1907, 3795806, 3797389,  - , 1584
1908, 508361, 510643,  - , 2283
1909, 3811355, 3812494,  - , 1140
1910, 513023, 514264,  - , 1242
1911, 3834056, 3835339,  - , 1284
1912, 517244, 518260,  - , 1017
1913, 3846125, 3847165,  - , 1041
1914, 537248, 538636,  - , 1389
1915, 3847184, 3848629,  - , 1446
1916, 563777, 565474,  - , 1698
1917, 3864566, 3866047,  - , 1482
1918, 569846, 571894,  - , 2049
1919, 3866588, 3869305,  - , 2718
1920, 573086, 575362,  - , 2277
1921, 3872633, 3874033,  - , 1401
1922, 594149, 595573,  - , 1425
1923, 3876683, 3878221,  - , 1539
1924, 607568, 609469,  - , 1902
1925, 3879347, 3880435,  - , 1089
1926, 624002, 625534,  - , 1533
1927, 3893543, 3894631,  - , 1089
1928, 664448, 666391,  - , 1944
1929, 3921491, 3922633,  - , 1143
1930, 685904, 687049,  - , 1146
1931, 3925964, 3927031,  - , 1068
1932, 692252, 693301,  - , 1050
1933, 3927035, 3928288,  - , 1254
1934, 107440, 108963,  - , 1524
1935, 4576662, 4577915,  - , 1254
1936, 127876, 129285,  - , 1410
1937, 4577928, 4580690,  - , 2763
1938, 136222, 137649,  - , 1428
1939, 4600911, 4602410,  - , 1500
1940, 146500, 147669,  - , 1170
1941, 4602444, 4603895,  - , 1452
1942, 147709, 149595,  - , 1887
1943, 4604133, 4605392,  - , 1260
1944, 154612, 155793,  - , 1182
1945, 4612842, 4614506,  - , 1665
1946, 171199, 172326,  - , 1128
1947, 4622382, 4623608,  - , 1227
1948, 172339, 173433,  - , 1095
1949, 4626387, 4627802,  - , 1416
1950, 173974, 175089,  - , 1116
1951, 4632987, 4634033,  - , 1047
1952, 183520, 184839,  - , 1320
1953, 4634106, 4635482,  - , 1377
1954, 191773, 193620,  - , 1848
1955, 4641678, 4642781,  - , 1104
1956, 220051, 222450,  - , 2400
1957, 4643454, 4645325,  - , 1872
1958, 229198, 231093,  - , 1896
1959, 4660755, 4664117,  - , 3363
1960, 233287, 235218,  - , 1932
1961, 4771023, 4772225,  - , 1203
1962, 267658, 268752,  - , 1095
1963, 4774551, 4776230,  - , 1680
1964, 278860, 280362,  - , 1503
1965, 4779630, 4782536,  - , 2907
1966, 286063, 287349,  - , 1287
1967, 4803366, 4805876,  - , 2511
1968, 300652, 303102,  - , 2451
1969, 4821123, 4822553,  - , 1431
